Tree name	Trait species	Non-trait species	Permutations	Selective Pressure	p-value	FDR
3696	5	5	20845863	constrained	1.3716369835151296e-05	0.06294442117350929
7266	5	5	20845863	accelerated	0.0001943310233691875	0.44589253312060073
6063	5	5	20845863	accelerated	0.00043990785734548954	0.6729123857861504
7947	4	4	10845863	accelerated	0.0004983793905268818	0.5717657557819652
3225	4	4	10845863	accelerated	0.0005887627111047511	0.5403664162519405
1516	5	5	20845863	accelerated	0.0006013225641637865	0.45991154115793603
7246	5	5	20845863	accelerated	0.0008527533203254167	0.5590407124247625
3110	5	4	10845863	accelerated	0.0008721413477840168	0.5002820806226066
7540	4	5	10845863	accelerated	0.0009053758628787545	0.46164109275006715
8324	5	4	10845863	accelerated	0.0009922522040157755	0.4553445364228394
3044	4	4	10845863	accelerated	0.0010312633889872913	0.4302243356420618
6371	5	5	20845863	accelerated	0.0012028370602025218	0.45998493910578103
6050	5	5	20845863	accelerated	0.0012313389436300337	0.4346626471014019
7350	5	5	20845863	accelerated	0.001380278078577657	0.4524354358994906
7038	4	4	8845863	constrained	0.0014460024969421047	0.4423803638978212
4381	4	5	8845863	constrained	0.0015369141927245194	0.4408062019008012
8585	4	5	8845863	accelerated	0.0016747895316153727	0.4520946565048791
397	5	5	20845863	constrained	0.0017258646324746663	0.4399995999125691
7183	5	4	10845863	accelerated	0.0017381941268189705	0.4198196235774871
1298	4	4	8845863	constrained	0.0017813991373706892	0.40874203206970466
8890	4	4	6850431	accelerated	0.0019798383540826636	0.4326418193754925
3329	4	5	8845863	accelerated	0.0021527514819534854	0.4490443886674793
8993	5	4	6850431	constrained	0.00255748505021005	0.5102738650179965
6595	5	5	20845863	constrained	0.002598244937724324	0.49680608413403843
3489	5	5	20845863	constrained	0.00281175989753584	0.5161266467916787
5423	4	4	6850431	constrained	0.003062447424385978	0.5405219704041251
5400	5	5	20845863	accelerated	0.0033101530810247803	0.5626034255119525
9100	4	4	6850431	constrained	0.0036131411150822517	0.592168020611159
3033	4	5	8845863	constrained	0.004004511629241884	0.6336794436755518
3984	5	4	10845863	accelerated	0.004141333761870203	0.633486021107412
8197	4	4	8845863	accelerated	0.004608650357104782	0.6822289189920595
6884	5	5	20845863	accelerated	0.004651468988991159	0.6670497247025133
4397	5	5	20845863	accelerated	0.004722483782716225	0.6567114569359016
3082	5	4	6850431	constrained	0.0047898858528237975	0.6464937111355414
6250	5	5	20845863	constrained	0.004800537604962601	0.6294190591192393
2804	5	4	5567862	constrained	0.005001777883133815	0.63758774182503
4305	5	5	20845863	accelerated	0.005256150360966272	0.6519047028776817
6024	5	5	20845863	constrained	0.005505635749425519	0.6648779593187818
8104	5	4	5567862	accelerated	0.005530716744392206	0.6507810035901495
4483	5	5	20845863	constrained	0.00559858094082595	0.6422971984362571
6505	5	4	10845863	accelerated	0.005994841690754926	0.6709836224115696
2885	4	4	6850431	accelerated	0.006073404712896635	0.6635917673210157
2009	4	5	5567862	accelerated	0.006162462973308469	0.657663781035176
2234	5	5	20845863	accelerated	0.006207364733132215	0.6473999263714485
5662	5	5	20845863	accelerated	0.006290183337165578	0.641458918538952
5708	5	4	6850431	accelerated	0.006406363777362478	0.6391044211807916
