Sequence Identifier	Value
AF005331.1_Timema_bartmani	B
AF005330.1_Timema_tahoe	P
AF005332.1_Timema_chumash	B
AF005333.1_Timema_genevieve	P
AF005334.1_Timema_boharti	B
AF005339.1_Timema_douglasi	P
AF005340.1_Timema_cristinae	B
AF005341.1_Timema_podura	B
AF005343.1_Timema_californicum	B
AF409998.1_Timema_poppensis_isolate_pop1no1	B
AF410062.1_Timema_shepardii_isolate_shep1no1	P
AF410100.1_Timema_monikensis_isolate_mon1no1	P
AF410142.1_Timema_knulli_isolate_knul1no1	B
AF410148.1_Timema_landelsensis_isolate_lan1no1	B
AF410151.1_Timema_petita_isolate_petita	B
